Source,Abbreviation,Content,Rating,Cleaned Content,Stemmed Content,Language,Segmented Content
Mawid,Mawid,Amazing,5,amazing,amazing,en,
Mawid,Mawid,amazing,5,amazing,amazing,en,
Mawid,Mawid,Amazing,5,amazing,amazing,en,
Mawid,Mawid,Amazing,5,amazing,amazing,en,
Mawid,Mawid,Amazing,5,amazing,amazing,en,
SAUDIA,SAUDIA,Amazing ..but if the app used icons for activities will be great. Just o click on icon,5,amazing but if the app used icons for activities will be great just o click on icon,amazing app use icon activity great click icon,en,amazing but if the app used icons for activities will be great just o click on icon
SAUDIA,SAUDIA,Amazing airlines and software,5,amazing airlines and software,amaze airline software,en,amazing airlines and software
SAUDIA,SAUDIA,Amazing and useful app. I do all my bookings through it.,5,amazing and useful app i do all my bookings through it,amazing useful app I booking,en,amazing and useful app i do all my bookings through it
AL KAHRABA,KAHRABA,Amazing and wonderful App,5,amazing and wonderful app,amazing wonderful app,en,amazing and wonderful app
Mawid,Mawid,Amazing app,5,amazing app,amazing app,en,
Mawid,Mawid,Amazing app,5,amazing app,amazing app,en,
Mawid,Mawid,Amazing app,5,amazing app,amazing app,en,
Mawid,Mawid,Amazing app easy to use ,5,amazing app easy use,amazing app easy use,en,
SPL Online ,SPL,amazing app i love it but in my opinion it needs improve in such schedule a shipment to pick up from the nearest office or schedule it for a delivery,5,amazing app i love it but in my opinion it needs improve in such schedule a shipment to pick up from the nearest office or schedule it for a delivery,amazing app I love opinion need improve schedule shipment pick near office schedule delivery,en,amazing app i love it but in my opinion it needs improve in such schedule a shipment to pick up from the nearest office or schedule it for a delivery
SAUDIA,SAUDIA,Amazing app. easy to use,5,amazing app easy to use,amazing app easy use,en,amazing app easy to use
Absher,Absher,Amazing app. So easy everything to find,5,amazing app so easy everything to find,amazing app easy everything find,en,amazing app so easy everything to find
Watani - We hear you,Watani,Amazing idea to capture the Voice of Citizens,5,amazing idea to capture the voice of citizens,amazing idea capture voice citizen,en,amazing idea to capture the voice of citizens
Mawid,Mawid,Amazing professional service Mashallah,5,amazing professional service mashallah,amazing professional service mashallah,en,
 NAFATH, NAFATH,Amazing Security,5,amazing security,amazing security,en,amazing security
SAUDIA,SAUDIA,Amazing service and amazing flight,5,amazing service and amazing flight,amazing service amazing flight,en,amazing service and amazing flight
SAUDIA,SAUDIA,Amazing service they serve always Our request they goel to make it happened. Love u soudi airlines...,5,amazing service they serve always our request they goel to make it happened love you soudi airlines,amazing service serve always request goel make happen love soudi airline,en,amazing service they serve always our request they goel to make it happened love you soudi airlines
My Reports (940 Reports),Baladia Report,"Amazing service. With in 5 minutes after reporting, I got a call from agent.",5,amazing service with in  minutes after reporting i got a call from agent,amazing service  minute report I get call agent,en,amazing service with in minutes after reporting i got a call from agent
SAUDIA,SAUDIA,Amazing update 👍👍,5,amazing update,amazing update,en,amazing update
Ministry of Finance,MOF,Amazing. I love the design and transparency. Please keep it ongoing,5,amazing i love the design and transparency please keep it ongoing,amazing I love design transparency please keep ongoing,en,amazing i love the design and transparency please keep it ongoing
Absher,Absher,Amazing..you will know about your record and information where the country you belong..,5,amazingyou will know about your record and information where the country you belong,amazingyou know record information country belong,en,amazingyou will know about your record and information where the country you belong
 Fatoraty, Fatoraty,An app that definitely adds a value to your expense management. Totally recommended,5,an app that definitely adds a value to your expense management totally recommended,app definitely add value expense management totally recommend,en,an app that definitely adds a value to your expense management totally recommended
Tawakkalna Services,Tawakkalna Services,An application which you can find and show your own things to use it anytime simply …. ,5,an application which you can find and show your own things to use it anytime simply,application find show thing use anytime simply,en,an application which you can find and show your own things to use it anytime simply
Wateen,Wateen,any time blad available ,5,time blad available,time blad available,en,
AL KAHRABA,KAHRABA,App help us for any inquiry and Information,5,app help us for any inquiry and information,app help inquiry information,en,app help us for any inquiry and information
SAUDIA,SAUDIA,App is very helpful,5,app is very helpful,app helpful,en,app is very helpful
SPL Online ,SPL,App is working great!,5,app is working great,app work great,en,app is working great
Wateen,Wateen,Application have problem after registration and giving my personal details its getting forced close please fix want to donate blood,5,application problem registration giving personal details getting forced close please fix want donate blood,application problem registration give personal detail getting force close please fix want donate blood,en,
"Communication, Space and Technology Commission",CST,Application Is Good 😃 Save Time Canceling Sim Not Going Any Service Center Thanks 👍👍👍 CITC,5,application is good save time canceling sim not going any service center thanks citc,application good save time cancel sim not go service center thank citc,en,application is good save time canceling sim not going any service center thanks citc
Kollona Amn,Kollona Amn,Application Shorten us to accomplish our work in a fast time away from the hustle and commitment to specific promises,5,application shorten us to accomplish our work in a fast time away from the hustle and commitment to specific promises,application shorten accomplish work fast time away hustle commitment specific promise,en,application shorten us to accomplish our work in a fast time away from the hustle and commitment to specific promises
Mawid,Mawid,Appreciate,5,appreciate,appreciate,en,
Absher,Absher,asking for Update all the time,5,asking for update all the time,ask update time,en,asking for update all the time
SAUDIA,SAUDIA,"Assalamo Alikom  I have the application both on Android phone and ios phone.  Both of them when I add my booking, if click on booking details on Android nothing happens,  on iPhone it gives error.  This is for many months now . I uninstaulled and reinstalled on booth with no change.  Just for feedback",5,assalamo alikom i have the application both on android phone and ios phone both of them when i add my booking if click on booking details on android nothing happens on iphone it gives error this is for many months now i uninstaulled and reinstalled on booth with no change just for feedback,assalamo alikom I application android phone io phone I add booking click book detail android nothing happen iphone give error many month I uninstaulle reinstall booth no change feedback,en,assalamo alikom i have the application both on android phone and ios phone both of them when i add my booking if click on booking details on android nothing happens on iphone it gives error this is for many months now i uninstaulled and reinstalled on booth with no change just for feedback
Mawid,Mawid,Awesome,5,awesome,awesome,en,
Mawid,Mawid,Awesome,5,awesome,awesome,en,
Mawid,Mawid,awesome,5,awesome,awesome,en,
Mawid,Mawid,Awesome,5,awesome,awesome,en,
Mawid,Mawid,Awesome,5,awesome,awesome,en,
Mawid,Mawid,Awesome & friendly app,5,awesome friendly app,awesome friendly app,en,
"Communication, Space and Technology Commission",CST,Awesome and super easy to work with.,5,awesome and super easy to work with,awesome super easy work,en,awesome and super easy to work with
Mawid,Mawid,Awesome app,5,awesome app,awesome app,en,
Mawid,Mawid,Awesome app,5,awesome app,awesome app,en,
SAUDIA,SAUDIA,AWESOME APP AWESOME SERVICES GREATEST AIRLINE ON PLANET,5,awesome app awesome services greatest airline on planet,awesome app awesome service great airline planet,en,awesome app awesome services greatest airline on planet
"Communication, Space and Technology Commission",CST,Awesome app love it easy to use,5,awesome app love it easy to use,awesome app love easy use,en,awesome app love it easy to use
Mawid,Mawid,"Awesome app, makes it easy to book",5,awesome app makes easy book,awesome app make easy book,en,
SAUDIA,SAUDIA,Awesome experience & perfect services,5,awesome experience perfect services,awesome experience perfect service,en,awesome experience perfect services
Mawid,Mawid,Awesome I like it,5,awesome like,awesome like,en,
Mawid,Mawid,Awesome Nice work application Thanks,5,awesome nice work application thanks,awesome nice work application thank,en,
Mawid,Mawid,Awesome services,5,awesome services,awesome service,en,
Absher,Absher,Awesome services they provide remotely and its secure too 👍 well great job keep it updated but with simple interface never change the interface because people don't understand new interfaces thanks..,5,awesome services they provide remotely and its secure too well great job keep it updated but with simple interface never change the interface because people do not understand new interfaces thanks,awesome service provide remotely secure well great job keep update simple interface never change interface people not understand new interface thank,en,awesome services they provide remotely and its secure too well great job keep it updated but with simple interface never change the interface because people do not understand new interfaces thanks
Wateen,Wateen,"Awsome Idea! with Clean , Usable & Stable AppAll the best",5,awsome idea clean usable stable app best,awsome idea clean usable stable app good,en,
Mawid,Mawid,Baby health care is easily available as per our own free time,5,baby health care easily available per free time,baby health care easily available per free time,en,
SAUDIA,SAUDIA,"Back to 5 stars rating after fixing the (Rooted Device false message) .. this update looks good, still trying 👍😀",5,back to  stars rating after fixing the rooted device false message this update looks good still trying,back  star rating fix root device false message update look good still try,en,back to stars rating after fixing the rooted device false message this update looks good still trying
Absher,Absher,Bad. Aways ask for updates while already updated,5,bad aways ask for updates while already updated,bad away ask update already update,en,bad aways ask for updates while already updated
SAUDIA,SAUDIA,Beautiful service so nice,5,beautiful service so nice,beautiful service nice,en,beautiful service so nice
Absher,Absher,"Before this app I have to wait in a long queue to renew my passport , driving license or my national ID but now i can renew all of these in few seconds and do other government papers.this app save my time and my money also",5,before this app i have to wait in a long queue to renew my passport driving license or my national id but now i can renew all of these in few seconds and do other government papersthis app save my time and my money also,app I wait long queue renew passport driving license national I renew second government papersthis app save time money also,en,before this app i have to wait in a long queue to renew my passport driving license or my national id but now i can renew all of these in few seconds and do other government papersthis app save my time and my money also
Mawid,Mawid,"Before, when using this app its very difficult and it was not workingThis app is working now and very convenient to use ",5,before using app difficult working app working convenient use,before use app difficult work app work convenient use,en,
Enjoy Saudi,Enjoy Saudi,beginning of a revolution KSA,5,beginning of a revolution ksa,begin revolution ksa,en,beginning of a revolution ksa
Mawid,Mawid,Best,5,best,good,en,
Mawid,Mawid,Best Aap,5,best aap,good aap,en,
SAUDIA,SAUDIA,Best aap for cut a boarding pass,5,best aap for cut a boarding pass,good aap cut boarding pass,en,best aap for cut a boarding pass
SAUDIA,SAUDIA,Best airline and his services,5,best airline and his services,good airline service,en,best airline and his services
SAUDIA,SAUDIA,"best airline ever, specially the mosque space for passengers",5,best airline ever specially the mosque space for passengers,good airline ever specially mosque space passenger,en,best airline ever specially the mosque space for passengers
SAUDIA,SAUDIA,Best airline for me. Always excellent price compared to the Competitors. Prices 10/10 In flight entertainment 10/10 Food quality 10/10 Food options 10/10 Services 10/10 Staff behaviour 10/10 Pilots 10/10 Overall 10/10 Always check the official website for promotions. Plan early to get good promotions.,5,best airline for me always excellent price compared to the competitors prices / in flight entertainment / food quality / food options / services / staff behaviour / pilots / overall / always check the official website for promotions plan early to get good promotions,good airline I always excellent price compare competitor price  flight entertainment  food quality  food option  service  staff behaviour  pilot  overall  always check official website promotion plan early get good promotion,en,best airline for me always excellent price compared to the competitors prices / in flight entertainment / food quality / food options / services / staff behaviour / pilots / overall / always check the official website for promotions plan early to get good promotions
SAUDIA,SAUDIA,Best airlines,5,best airlines,good airline,en,best airlines
SAUDIA,SAUDIA,Best Airlines and best services.,5,best airlines and best services,good airline good service,en,best airlines and best services
SAUDIA,SAUDIA,best and easiest,5,best and easiest,good easy,en,best and easiest
Mawid,Mawid,Best and fast,5,best fast,well fast,en,
Absher,Absher,"Best and useful app for every residents. Saudi or a non Saudi like me, this app amazes you with its useful and deep options. I wonder, if we can find such government website in whole world.",5,best and useful app for every residents saudi or a non saudi like me this app amazes you with its useful and deep options i wonder if we can find such government website in whole world,good useful app every resident saudi non saudi like I app amaze useful deep option I wonder find government website whole world,en,best and useful app for every residents saudi or a non saudi like me this app amazes you with its useful and deep options i wonder if we can find such government website in whole world
Mawid,Mawid,Best app,5,best app,good app,en,
Mawid,Mawid,Best app,5,best app,good app,en,
Mawid,Mawid,Best App,5,best app,good app,en,
Mawid,Mawid,Best app & software,5,best app software,good app software,en,
Mawid,Mawid,Best app ever,5,best app ever,good app ever,en,
Mawid,Mawid,Best app ever ❣️,5,best app ever,good app ever,en,
Mawid,Mawid,Best app ever for Evey single man in Saudi ArabiaHealth services in your hand 24/7برنامج مهم ومفيد وبسيط وسهل الاستخدام ,5,best app ever evey single man saudi arabia health services hand برنامج مهم ومفيد وبسيط وسهل الاستخدام,good app ever evey single man saudi arabia health service hand برنامج مهم ومفيد وبسيط وسهل الاستخدام,en,
SAUDIA,SAUDIA,Best app for Booking flights,5,best app for booking flights,good app book flight,en,best app for booking flights
"Communication, Space and Technology Commission",CST,"Best app for cancel ❌ the sim ,highly recommend",5,best app for cancel the sim highly recommend,good app cancel sim highly recommend,en,best app for cancel the sim highly recommend
Mawid,Mawid,Best app for health,5,best app health,good app health,en,
Mawid,Mawid,best app i love it,5,best app love,good app love,en,
Absher,Absher,Best app saved alot of time and efforts.,5,best app saved alot of time and efforts,good app save alot time effort,en,best app saved alot of time and efforts
Absher,Absher,Best app that you can finish all gov changes while you are at home .. KSA is winning the technology & electronic media competitions,5,best app that you can finish all gov changes while you are at home ksa is winning the technology electronic media competitions,good app finish gov change home ksa win technology electronic medium competition,en,best app that you can finish all gov changes while you are at home ksa is winning the technology electronic media competitions
Absher,Absher,Best app. Ever For saudis to do all kinds of personal businesses and documents with the government from home. No need any more to waste time going to the government office.,5,best app ever for saudis to do all kinds of personal businesses and documents with the government from home no need any more to waste time going to the government office,good app ever saudi kind personal business document government home no need waste time go government office,en,best app ever for saudis to do all kinds of personal businesses and documents with the government from home no need any more to waste time going to the government office
Mawid,Mawid,Best appit's so easy to use thanks,5,best app easy use thanks,good app easy use thank,en,
Absher,Absher,"Best application for all, passport 🛃 identity licenses and more all that in private.  ☑️💚🇸🇦",5,best application for all passport identity licenses and more all that in private,good application passport identity license private,en,best application for all passport identity licenses and more all that in private
Wateen,Wateen,Best Apps For Saudi Arabia,5,best apps saudi arabia,good app saudi arabia,en,
Absher,Absher,Best friend for special needs,5,best friend for special needs,good friend special need,en,best friend for special needs
Absher,Absher,Best guideline for individuals,5,best guideline for individuals,good guideline individual,en,best guideline for individuals
SAUDIA,SAUDIA,Best online booking system...,5,best online booking system,good online booking system,en,best online booking system
SAUDIA,SAUDIA,best prices,5,best prices,good price,en,best prices
Absher,Absher,best program that made life easy,5,best program that made life easy,good program make life easy,en,best program that made life easy
Mawid,Mawid,Best service,5,best service,good service,en,
SAUDIA,SAUDIA,Best service,5,best service,good service,en,best service
SAUDIA,SAUDIA,best service and great app,5,best service and great app,good service great app,en,best service and great app
Mawid,Mawid,Best service thanks,5,best service thanks,good service thank,en,
Mawid,Mawid,Best services,5,best services,good service,en,
SAUDIA,SAUDIA,Best way to book a flight with Saudia,5,best way to book a flight with saudia,good way book flight saudia,en,best way to book a flight with saudia
Mawid,Mawid,Best way to schedule appointments for the saudi medical system ,5,best way schedule appointments saudi medical system,good way schedule appointment saudi medical system,en,
Mawid,Mawid,Best wishes to the entire team of developers for this application and sincere thanks to ministry of health to take care of my family during these pandemic times,5,best wishes entire team developers application sincere thanks ministry health take care family pandemic times,well wish entire team developer application sincere thanks ministry health take care family pandemic time,en,
Absher,Absher,Better for security reasons,5,better for security reasons,well security reason,en,better for security reasons
SAUDIA,SAUDIA,"Better price & duration from the other airlines,,",5,better price duration from the other airlines,well price duration airline,en,better price duration from the other airlines
SAUDIA,SAUDIA,Better service,5,better service,well service,en,better service
SAUDIA,SAUDIA,"Better service than before, nice work",5,better service than before nice work,well service nice work,en,better service than before nice work
SAUDIA,SAUDIA,Better than old app,5,better than old app,well old app,en,better than old app
SAUDIA,SAUDIA,better than the other airline,5,better than the other airline,well airline,en,better than the other airline
Ehsan,Ehsan,"Better to have an English alsoSo, more people can participate",5,better english also so people participate ,well english also so people participate ,en,
Mawid,Mawid,Blessed,5,blessed,bless,en,
Mawid,Mawid,Brilliant,5,brilliant,brilliant,en,
Mawid,Mawid,Brilliant,5,brilliant,brilliant,en,
Mawid,Mawid,Brilliant,5,brilliant,brilliant,en,
Wateen,Wateen,"Brilliant idea, The App is working perfectly",5,brilliant idea app working perfectly,brilliant idea app work perfectly,en,
SAUDIA,SAUDIA,But not accepting mada payments,5,but not accepting mada payments,not accept mada payment,en,but not accepting mada payments
General Organization for Social Insurance,GOSI,"But Plese Give Me English Opinions ,",5,but plese give me english opinions,plese give I english opinion,en,but plese give me english opinions
SAUDIA,SAUDIA,But what is the use of making boarding here in application? Can i print and use it instead of boarding in the airport?,5,but what is the use of making boarding here in application can i print and use it instead of boarding in the airport,use make boarding application I print use instead boarding airport,en,but what is the use of making boarding here in application can i print and use it instead of boarding in the airport
SAUDIA,SAUDIA,Can any body tell and confirm me if Saudi Arabia flight is on or not plz plzplz,5,can any body tell and confirm me if saudi arabia flight is on or not plz plzplz,body tell confirm I saudi arabia flight not plz plzplz,en,can any body tell and confirm me if saudi arabia flight is on or not plz plzplz
General Organization for Social Insurance,GOSI,Can i requests for English,5,can i requests for english,I request english,en,can i requests for english
Mawid,Mawid,Can not use Mawid Application on Huawei phoneGoogle play is not available on Huawei ,5,use mawid application huawei phone google play available huawei,use mawid application huawei phone google play available huawei,en,
Mawid,Mawid,Can’t be grateful enough for the suburb services provide for free,5,cannot grateful enough suburb services provide free,can not grateful enough suburb service provide free,en,
"Communication, Space and Technology Commission",CST,Can't open. frequently asking to update but there's no any update available.,5,cannot open frequently asking to update but there is no any update available,not open frequently ask update no update available,en,cannot open frequently asking to update but there is no any update available
General Organization for Social Insurance,GOSI,Cannot be change the arabic language to english,5,cannot be change the arabic language to english,not change arabic language english,en,cannot be change the arabic language to english
General Organization for Social Insurance,GOSI,Change language English please,5,change language english please,change language english please,en,change language english please
SAUDIA,SAUDIA,Check in and pdf boarding pass is a life saver,5,check in and pdf boarding pass is a life saver,check pdf boarding pass life saver,en,check in and pdf boarding pass is a life saver
"Communication, Space and Technology Commission",CST,CITC THANKS FOR SOLVING ALL MY PROBLEMS.... U SERVED A BETTER SERVICE FOR ME. REALLY I APPRECIATE U R ALL RESPONDS.,5,citc thanks for solving all my problems you served a better service for me really i appreciate you r all responds,citc thank solve problem serve well service I really I appreciate r respond,en,citc thanks for solving all my problems you served a better service for me really i appreciate you r all responds
SAUDIA,SAUDIA,Clear,5,clear,clear,en,clear
SAUDIA,SAUDIA,Clear cut flight name Saudia Airlines,5,clear cut flight name saudia airlines,clear cut flight name saudia airline,en,clear cut flight name saudia airlines
Mawid,Mawid,Clear fast app,5,clear fast app,clear fast app,en,
SAUDIA,SAUDIA,Congrats! Finally working on Android 10,5,congrats finally working on android ,congrat finally work android ,en,congrats finally working on android
 NAFATH, NAFATH,Continue update on,5,continue update on,continue update,en,continue update on
SAUDIA,SAUDIA,Continuously improving. Well done,5,continuously improving well done,continuously improve well,en,continuously improving well done
Mawid,Mawid,Convenient,5,convenient,convenient,en,
Saudi Railway,SAR,Convenient,5,convenient,convenient,en,convenient
Mawid,Mawid,convenient and easy to use,5,convenient easy use,convenient easy use,en,
Mawid,Mawid,Convenient and helpful,5,convenient helpful,convenient helpful,en,
Mawid,Mawid,"Convenient and helpful, I just wish it kept me signed in for longer ",5,convenient helpful wish kept signed longer,convenient helpful wish kept sign long,en,
SAUDIA,SAUDIA,"convenient, fast and easy",5,convenient fast and easy,convenient fast easy,en,convenient fast and easy
SAUDIA,SAUDIA,Currency Conversion feature should be added as in web version ticket shown with local currency.,5,currency conversion feature should be added as in web version ticket shown with local currency,currency conversion feature add web version ticket show local currency,en,currency conversion feature should be added as in web version ticket shown with local currency
Kollona Amn,Kollona Amn,Dear ...kindly add in the map bottom to assign my current location. So I can find the location easy.,5,dear kindly add in the map bottom to assign my current location so i can find the location easy,dear kindly add map bottom assign current location I find location easy,en,dear kindly add in the map bottom to assign my current location so i can find the location easy
Ehsan,Ehsan,Dears please add English launguage also in App,5,dears please add english launguage also app,dear please add english launguage also app,en,
AL KAHRABA,KAHRABA,Difficult to register difficult to use should be replaced with new version to solve these trubles,5,difficult to register difficult to use should be replaced with new version to solve these trubles,difficult register difficult use replace new version solve truble,en,difficult to register difficult to use should be replaced with new version to solve these trubles
SAUDIA,SAUDIA,Direct flight and best comparative staff,5,direct flight and best comparative staff,direct flight good comparative staff,en,direct flight and best comparative staff
Absher,Absher,Does Not login out of the kingdom,5,does not login out of the kingdom,not login kingdom,en,does not login out of the kingdom
General Organization for Social Insurance,GOSI,Does the job,5,does the job,job,en,does the job
General Organization for Social Insurance,GOSI,doesn't have english ...,5,does not have english,not english,en,does not have english
SAUDIA,SAUDIA,Ease of access,5,ease of access,ease access,en,ease of access
SAUDIA,SAUDIA,Ease of use,5,ease of use,ease use,en,ease of use
Mawid,Mawid,Easier,5,easier,easy,en,
Absher,Absher,Easily finish all GOV process from any where without charges,5,easily finish all gov process from any where without charges,easily finish gov process without charge,en,easily finish all gov process from any where without charges
Mawid,Mawid,Easily get appointments for child vaccine,5,easily get appointments child vaccine,easily get appointment child vaccine,en,
Mawid,Mawid,Easy,5,easy,easy,en,
Mawid,Mawid,Easy & smooth,5,easy smooth,easy smooth,en,
SAUDIA,SAUDIA,Easy Access and Control over Taravels. 🌟 🌟 🌟 🌟 🌟,5,easy access and control over taravels,easy access control taravel,en,easy access and control over taravels
Kollona Amn,Kollona Amn,Easy and beautiful interface simple and effective way to stop crime,5,easy and beautiful interface simple and effective way to stop crime,easy beautiful interface simple effective way stop crime,en,easy and beautiful interface simple and effective way to stop crime
SAUDIA,SAUDIA,easy and comfortable,5,easy and comfortable,easy comfortable,en,easy and comfortable
Mawid,Mawid,Easy and comprehensive,5,easy comprehensive,easy comprehensive,en,
SAUDIA,SAUDIA,easy and convinient,5,easy and convinient,easy convinient,en,easy and convinient
Mawid,Mawid,Easy and convinient to use the application,5,easy convinient use application,easy convinient use application,en,
SAUDIA,SAUDIA,easy and effective 👌,5,easy and effective,easy effective,en,easy and effective
Mawid,Mawid,Easy and fast,5,easy fast,easy fast,en,
SPL Online ,SPL,easy and fast... with good service from the office person in charge... polite...with patience...,5,easy and fast with good service from the office person in charge politewith patience,easy fast good service office person charge politewith patience,en,easy and fast with good service from the office person in charge politewith patience
Mawid,Mawid,Easy and great app,5,easy great app,easy great app,en,
Mawid,Mawid,Easy and helpful,5,easy helpful,easy helpful,en,
Mawid,Mawid,easy and helpful,5,easy helpful,easy helpful,en,
"Communication, Space and Technology Commission",CST,Easy and helpful. Thanks CITC,5,easy and helpful thanks citc,easy helpful thank citc,en,easy and helpful thanks citc
National Water Company,NWC,Easy and I can find all needed information,5,easy and i can find all needed information,easy I find need information,en,easy and i can find all needed information
Mawid,Mawid,Easy and prompt reply Excellent service❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,5,easy prompt reply excellent service,easy prompt reply excellent service,en,
SAUDIA,SAUDIA,easy and realable,5,easy and realable,easy realable,en,easy and realable
SAUDIA,SAUDIA,Easy and simple the best thing is that you can store infos. Need to work on the credit card part to make it accessible by the fingerprint paste,5,easy and simple the best thing is that you can store infos need to work on the credit card part to make it accessible by the fingerprint paste,easy simple good thing store infos need work credit card part make accessible fingerprint paste,en,easy and simple the best thing is that you can store infos need to work on the credit card part to make it accessible by the fingerprint paste
Mawid,Mawid,Easy and useful,5,easy useful,easy useful,en,
Mawid,Mawid,Easy and useful app,5,easy useful app,easy useful app,en,
SAUDIA,SAUDIA,Easy and very convenient,5,easy and very convenient,easy convenient,en,easy and very convenient
SAUDIA,SAUDIA,easy and very useful app!,5,easy and very useful app,easy useful app,en,easy and very useful app
Mawid,Mawid,Easy and visual,5,easy visual,easy visual,en,
SAUDIA,SAUDIA,Easy app,5,easy app,easy app,en,easy app
SAUDIA,SAUDIA,easy app,5,easy app,easy app,en,easy app
Wateen,Wateen,Easy app 👌,5,easy app,easy app,en,
Mawid,Mawid,Easy booking process,5,easy booking process,easy booking process,en,
SAUDIA,SAUDIA,Easy enough and practical 👌,5,easy enough and practical,easy enough practical,en,easy enough and practical
 Fatoraty, Fatoraty,Easy management to your bills and easy search. I really recommend it.,5,easy management to your bills and easy search i really recommend it,easy management bill easy search I really recommend,en,easy management to your bills and easy search i really recommend it
SAUDIA,SAUDIA,Easy steps & Informative and clear process,5,easy steps informative and clear process,easy step informative clear process,en,easy steps informative and clear process
SAUDIA,SAUDIA,easy steps good aap,5,easy steps good aap,easy step good aap,en,easy steps good aap
Mawid,Mawid,Easy steps on log-in,5,easy steps login,easy step login,en,
SAUDIA,SAUDIA,easy to access,5,easy to access,easy access,en,easy to access
Mawid,Mawid,Easy to access and helpful,5,easy access helpful,easy access helpful,en,
Mawid,Mawid,Easy to book,5,easy book,easy book,en,
Mawid,Mawid,Easy to book,5,easy book,easy book,en,
SAUDIA,SAUDIA,Easy to book,5,easy to book,easy book,en,easy to book
SAUDIA,SAUDIA,Easy to book and easy to pay,5,easy to book and easy to pay,easy book easy pay,en,easy to book and easy to pay
Mawid,Mawid,Easy to book appointment,5,easy book appointment,easy book appointment,en,
Mawid,Mawid,Easy to book appointment,5,easy book appointment,easy book appointment,en,
Mawid,Mawid,Easy to book appointment,5,easy book appointment,easy book appointment,en,
Mawid,Mawid,"Easy to book appointment, fast service",5,easy book appointment fast service,easy book appointment fast service,en,
Absher,Absher,Easy to check all documents in one application,5,easy to check all documents in one application,easy check document one application,en,easy to check all documents in one application
AL KAHRABA,KAHRABA,easy to check my electric bill,5,easy to check my electric bill,easy check electric bill,en,easy to check my electric bill
Mawid,Mawid,Easy to deal with,5,easy deal,easy deal,en,
Mawid,Mawid,Easy to get an appointment with the doctor you want ,5,easy get appointment doctor want,easy get appointment doctor want,en,
Saudi Factories,Saudi Factories,Easy to manage,5,easy to manage,easy manage,en,easy to manage
saudi Industrial Development Fund,SIDF,"Easy to manage, great UX",5,easy to manage great ux,easy manage great ux,en,easy to manage great ux
Absher,Absher,"Easy to see my information,,",5,easy to see my information,easy see information,en,easy to see my information
Mawid,Mawid,Easy to take an appointment,5,easy take appointment,easy take appointment,en,
Mawid,Mawid,Easy to take appointment,5,easy take appointment,easy take appointment,en,
 NAFATH, NAFATH,Easy to use,5,easy to use,easy use,en,easy to use
AL KAHRABA,KAHRABA,Easy to use,5,easy to use,easy use,en,easy to use
AL KAHRABA,KAHRABA,Easy to use,5,easy to use,easy use,en,easy to use
Mawid,Mawid,Easy to use,5,easy use,easy use,en,
Mawid,Mawid,Easy to use,5,easy use,easy use,en,
Mawid,Mawid,Easy to use,5,easy use,easy use,en,
Mawid,Mawid,Easy to use,5,easy use,easy use,en,
Mawid,Mawid,easy to use,5,easy use,easy use,en,
Mawid,Mawid,Easy to use,5,easy use,easy use,en,
Mawid,Mawid,Easy to use,5,easy use,easy use,en,
Mawid,Mawid,Easy to use,5,easy use,easy use,en,
Mawid,Mawid,Easy to use,5,easy use,easy use,en,
Mawid,Mawid,Easy to use,5,easy use,easy use,en,
Mawid,Mawid,Easy to use,5,easy use,easy use,en,
Mawid,Mawid,Easy to use,5,easy use,easy use,en,
Mawid,Mawid,Easy to use,5,easy use,easy use,en,
Mawid,Mawid,Easy to use,5,easy use,easy use,en,
Mawid,Mawid,Easy to use,5,easy use,easy use,en,
SAUDIA,SAUDIA,Easy to use,5,easy to use,easy use,en,easy to use
SAUDIA,SAUDIA,Easy to use,5,easy to use,easy use,en,easy to use
SAUDIA,SAUDIA,easy to use,5,easy to use,easy use,en,easy to use
SAUDIA,SAUDIA,Easy to use,5,easy to use,easy use,en,easy to use
SAUDIA,SAUDIA,Easy to use,5,easy to use,easy use,en,easy to use
SAUDIA,SAUDIA,Easy to use,5,easy to use,easy use,en,easy to use
SAUDIA,SAUDIA,easy to use,5,easy to use,easy use,en,easy to use
SAUDIA,SAUDIA,Easy to use,5,easy to use,easy use,en,easy to use
SPL Online ,SPL,Easy to use,5,easy to use,easy use,en,easy to use
Mawid,Mawid,Easy to use ,5,easy use,easy use,en,
Mawid,Mawid,Easy to use ,5,easy use,easy use,en,
Mawid,Mawid,Easy to use ,5,easy use,easy use,en,
General Organization for Social Insurance,GOSI,Easy to use 👍👍,5,easy to use,easy use,en,easy to use
Mawid,Mawid,Easy to use 💛,5,easy use,easy use,en,
Mawid,Mawid,Easy to use A useful tool,5,easy use useful tool,easy use useful tool,en,
Mawid,Mawid,Easy to use and also flexible,5,easy use also flexible,easy use also flexible,en,
Absher,Absher,Easy to use and any thing searching is easy,5,easy to use and any thing searching is easy,easy use thing search easy,en,easy to use and any thing searching is easy
Mawid,Mawid,Easy to use and book appointments,5,easy use book appointments,easy use book appointment,en,
AL KAHRABA,KAHRABA,Easy to use and comfortable,5,easy to use and comfortable,easy use comfortable,en,easy to use and comfortable
Mawid,Mawid,Easy to use and friendly,5,easy use friendly,easy use friendly,en,
SAUDIA,SAUDIA,Easy to use and friendly User Experience,5,easy to use and friendly user experience,easy use friendly user experience,en,easy to use and friendly user experience
